responden,jenis_kelamin,usia,pendidikan,penghasilan,aktivitas_meningkat_1,aktivitas_meningkat_2,aktivitas_meningkat_3,aktivitas_meningkat_4,aktivitas_meningkat_5,memiliki_akun_bank?,bank_pilihan_1,bank_pilihan_2,bank_pilihan_3,bank_pilihan_4,bank_pilihan_5,transfer_antar_bank,bayar_tagihan,keluhan_1,keluhan_2,keluhan_3
43,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,ATM,ATM,,,
44,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,BRI,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
45,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,Transaksi / pembayaran yang sama terjadi dua kali
46,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,BCA,BNI,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
47,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
48,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,Mandiri,,Internet Banking,Internet Banking,Layanan/ Sistem down,,
49,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
50,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,,,,,Mobile Banking,Mobile Banking,,Proses tidak berhasil namun saldo terpotong,
51,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,BRI,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
52,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
53,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,,,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
54,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
55,Perempuan,>50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,,,ya,BRI,BCA,,Mandiri,,ATM,ATM,,Proses tidak berhasil namun saldo terpotong,
56,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,BRI,,BNI,Mandiri,CIMB Niaga,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
57,Laki – laki,21-30 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,BCA,BNI,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
58,Laki – laki,21-30 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
59,Perempuan,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,BRI,BCA,,,,SMS Banking,Mobile Banking,Layanan/ Sistem down,,
60,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Internet Banking,Internet Banking,,,
61,Perempuan,15-20 tahun,SMA,Rp 5 juta – Rp 10 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,ATM,Datang ke cabang bank,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
62,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,Transaksi / pembayaran yang sama terjadi dua kali
63,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
64,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,BNI,Mandiri,,ATM,Mobile Banking,,,
65,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
66,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,BRI,,BNI,,CIMB Niaga,Internet Banking,Internet Banking,Layanan/ Sistem down,,
67,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
68,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
69,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Internet Banking,Internet Banking,Layanan/ Sistem down,,
70,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
71,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,ATM,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,Transaksi / pembayaran yang sama terjadi dua kali
72,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
73,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,Transaksi / pembayaran yang sama terjadi dua kali
74,Laki – laki,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,ya,,BCA,,,,Internet Banking,ATM,Layanan/ Sistem down,,
75,Perempuan,21-30 tahun,S1,< Rp 2 juta,,,,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
76,Perempuan,>50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,ya,,BCA,BNI,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
77,Perempuan,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,Berbelanja online,Streaming video/ film,,,,ya,,BCA,BNI,,CIMB Niaga,Mobile Banking,ATM,Layanan/ Sistem down,,
78,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,,,,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,,,
79,Perempuan,>50 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,BRI,,,,,ATM,ATM,Layanan/ Sistem down,,
80,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
81,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
82,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,BCA,BNI,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
83,Perempuan,41-50 tahun,S1,> Rp 10 juta,,,,,,ya,,BCA,BNI,Mandiri,,Mobile Banking,ATM,,,
84,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
85,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
86,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,ATM,Layanan/ Sistem down,,Transaksi / pembayaran yang sama terjadi dua kali
87,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,BRI,,,,,ATM,ATM,Layanan/ Sistem down,,
88,Perempuan,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
89,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,ya,BRI,,,,,ATM,ATM,Layanan/ Sistem down,,
90,Perempuan,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,BRI,,,Mandiri,,ATM,ATM,,,
91,Perempuan,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,,,ya,BRI,,,,CIMB Niaga,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
92,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,BNI,,,ATM,Mobile Banking,Layanan/ Sistem down,,
93,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,,,BNI,,,Mobile Banking,Mobile Banking,,,
94,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,BCA,BNI,,,Mobile Banking,Mobile Banking,,,
95,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,,,BNI,,,Mobile Banking,Mobile Banking,,,
96,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
97,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,Transaksi / pembayaran yang sama terjadi dua kali
98,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
99,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
100,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
101,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Internet Banking,Internet Banking,Layanan/ Sistem down,,
102,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
103,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
104,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
105,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
106,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,,,ya,,,,Mandiri,,ATM,Internet Banking,Layanan/ Sistem down,,Transaksi / pembayaran yang sama terjadi dua kali
107,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,ATM,Layanan/ Sistem down,,
108,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
109,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,ATM,ATM,,,
110,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
111,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
112,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
113,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,Mandiri,,ATM,Mobile Banking,Layanan/ Sistem down,,
114,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
115,Laki – laki,31-40 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
116,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
117,Laki – laki,31-40 tahun,S2,> Rp 10 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,BRI,BCA,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
118,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
119,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
120,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
121,Laki – laki,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,,,,,,ya,,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
122,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
123,Laki – laki,31-40 tahun,S1,> Rp 10 juta,,,,Akses media sosial,,ya,,,,,,ATM,ATM,,,Transaksi / pembayaran yang sama terjadi dua kali
124,Perempuan,41-50 tahun,S1,< Rp 2 juta,,,,Akses media sosial,,ya,,BCA,,,,ATM,ATM,Layanan/ Sistem down,,
125,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
126,Perempuan,>50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,ya,,BCA,BNI,,,Mobile Banking,Mobile Banking,,Proses tidak berhasil namun saldo terpotong,
127,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,,BCA,,,,Mobile Banking,ATM,Layanan/ Sistem down,,
128,Laki – laki,< 15 tahun,SD,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,SMS Banking,SMS Banking,Layanan/ Sistem down,,
129,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,,,,,ya,BRI,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
130,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
131,Perempuan,31-40 tahun,S1,Rp 5 juta – Rp 10 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,Mandiri,,Internet Banking,Internet Banking,,Proses tidak berhasil namun saldo terpotong,
132,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,,,,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
133,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,Mandiri,,Mobile Banking,Mobile Banking,,,
