responden,jenis_kelamin,usia,pendidikan,penghasilan,aktivitas_meningkat_1,aktivitas_meningkat_2,aktivitas_meningkat_3,aktivitas_meningkat_4,aktivitas_meningkat_5,menggunakan_fintech_lending?,fintech_pilihan_1,fintech_pilihan_2,fintech_pilihan_3,fintech_pilihan_4,fintech_pilihan_5,tujuan_1,tujuan_2,tujuan_3,tujuan_4,tujuan_5,nominal_peminjaman,keluhan_1,keluhan_2,keluhan_3
11,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
12,Laki – laki,41-50 tahun,S1,> Rp 10 juta,Berbelanja online,,,Akses media sosial,Melakukan konsultasi kesehatan secara online,tidak,,,,,,,,,,,,,,
13,Laki – laki,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
14,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
15,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
16,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,
17,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
18,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
19,Laki – laki,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
20,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
21,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
22,Perempuan,>50 tahun,S2,> Rp 10 juta,,,,,,tidak,,,,,,,,,,,,,,
23,Laki – laki,21-30 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,Kredivo,,,,,,,,,,"> Rp 10.000.000,-",,,
24,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,
25,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
26,Perempuan,41-50 tahun,S1,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
27,Laki – laki,>50 tahun,S2,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,
28,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
29,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
30,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
31,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,
32,Laki – laki,41-50 tahun,S1,> Rp 10 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,
33,Laki – laki,21-30 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
34,Perempuan,41-50 tahun,tidak menjawab,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
35,Laki – laki,21-30 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
36,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,,,,tidak,,,,,,,,,,,,,,
37,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
38,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
39,Perempuan,15-20 tahun,S1,< Rp 2 juta,,,,,,ya,Kredivo,,CIcil,,,,,Pembelanjaan di marketplace (online shop),,,"< Rp 1.000.000,-",,,
40,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
41,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
42,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
43,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
44,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,
45,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
46,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
47,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
48,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
49,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,
50,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,
51,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
52,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
53,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,,,Akses media sosial,,tidak,,,,,,,,,,,,,,
54,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
55,Perempuan,>50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,,,tidak,,,,,,,,,,,,,,
56,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
57,Laki – laki,21-30 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,
58,Laki – laki,21-30 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
59,Perempuan,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
60,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
61,Perempuan,15-20 tahun,SMA,Rp 5 juta – Rp 10 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
62,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
63,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,
64,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
65,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
66,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,
67,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
68,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
69,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
70,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
71,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
72,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,
73,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
74,Laki – laki,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
75,Perempuan,21-30 tahun,S1,< Rp 2 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,
76,Perempuan,>50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,
77,Perempuan,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,Berbelanja online,Streaming video/ film,,,,ya,,,,,,,,,Pembiayaan pendidikan,,"> Rp 10.000.000,-",,Bunga tinggi,
78,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,
79,Perempuan,>50 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
80,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
81,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,
82,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
83,Perempuan,41-50 tahun,S1,> Rp 10 juta,,,,,,ya,,,CIcil,,,Modal Usaha,,,,,Rp 5.000.001 – Rp 10.000.000,Aplikasi/ web tidak dapat / sulit diakses,,
84,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,
85,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,
86,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
87,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
88,Perempuan,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
89,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
90,Perempuan,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
91,Perempuan,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,,,ya,Kredivo,,,,,,,Pembelanjaan di marketplace (online shop),,,"< Rp 1.000.000,-",,,
92,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
93,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,tidak,,,,,,,,,,,,,,
94,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
95,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,tidak,,,,,,,,,,,,,,
96,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
97,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
98,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
99,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
100,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
101,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
102,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
103,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
104,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
105,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
106,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,
107,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
108,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
109,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
110,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,
111,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
112,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
113,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
114,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
115,Laki – laki,31-40 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
116,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
117,Laki – laki,31-40 tahun,S2,> Rp 10 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
118,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
119,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,
120,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
121,Laki – laki,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,,,,,,tidak,,,,,,,,,,,,,,
122,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,
123,Laki – laki,31-40 tahun,S1,> Rp 10 juta,,,,Akses media sosial,,ya,,,,Akulaku,,,,Pembelanjaan di marketplace (online shop),,,"< Rp 1.000.000,-",,,
124,Perempuan,41-50 tahun,S1,< Rp 2 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,
125,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,tidak,,,,,,,,,,,,,,
126,Perempuan,>50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,
127,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,
128,Laki – laki,< 15 tahun,SD,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
129,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,,,,,tidak,,,,,,,,,,,,,,
130,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,
131,Perempuan,31-40 tahun,S1,Rp 5 juta – Rp 10 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
132,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,,,,,tidak,,,,,,,,,,,,,,
133,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
134,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
135,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,,,,tidak,,,,,,,,,,,,,,
136,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,,,,tidak,,,,,,,,,,,,,,
137,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,,Akses media sosial,,ya,,,,,,,,,,,"< Rp 1.000.000,-",,,
138,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
139,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,tidak,,,,,,,,,,,,,,
140,Laki – laki,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,
141,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,
142,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
143,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,
144,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
145,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
146,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,
147,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
148,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
149,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
150,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
151,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
152,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
153,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
154,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,tidak,,,,,,,,,,,,,,
155,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
156,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
157,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
158,Perempuan,31-40 tahun,S1,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,
159,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
160,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,
161,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
162,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
163,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,
164,Laki – laki,41-50 tahun,S1,> Rp 10 juta,,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,
165,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,,,Akses media sosial,,tidak,,,,,,,,,,,,,,
166,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
167,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,
168,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
169,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
170,Laki – laki,15-20 tahun,S1,Rp 2 juta – Rp 5 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
171,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,
172,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,,,,tidak,,,,,,,,,,,,,,
173,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,
